KIN,2,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
NumSegments,NumFrames,FrameRate,AxisOfGravity,ScaleFactor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,82,60,Z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Segment,0,Pelvis,R.Thigh,L.Thigh,R.Shank,L.Shank,R.Foot,L.Foot,Trunk,Head/Neck,R.UpperArm,L.UpperArm,R.Forearm,L.Forearm,R.Hand,L.Hand,PelvisLab,TrunkLab
Parent,0,GLOBAL,Pelvis,Pelvis,R.Thigh,L.Thigh,R.Shank,L.Shank,Pelvis,Trunk,Trunk,Trunk,R.UpperArm,L.UpperArm,R.Forearm,L.Forearm,GLOBAL,GLOBAL
Euler Sequence,0,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ,XYZ
Bone Axis,0,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
Mass,0,0.1117,0.1416,0.1416,0.0433,0.0433,0.0137,0.0137,0.3229,0.0694,0.0271,0.0271,0.0162,0.0162,0.0061,0.0061,0,0
COMx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMz,0,0.5,0.4095,0.4095,0.4395,0.4395,0.4415,0.4415,0.4166,0.5976,0.5772,0.5772,0.4574,0.4574,0.79,0.79,0.5,0.4166
RadiusOfGyrationX,0,0.615,0.329,0.329,0.251,0.251,0.257,0.257,0.328,0.362,0.285,0.285,0.276,0.276,0.628,0.628,0,0
RadiusOfGyrationY,0,0.551,0.329,0.329,0.246,0.246,0.245,0.245,0.306,0.376,0.269,0.269,0.265,0.265,0.513,0.513,0,0
RadiusOfGyrationZ,0,0.587,0.149,0.149,0.102,0.102,0.124,0.124,0.169,0.312,0.158,0.158,0.121,0.121,0.401,0.401,0,0
